signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2020-05-26,2020-05-27,TP_v2,TMUS,BUY,4.322110777517461e-20,95.68000366210937,2020-06-24
2020-05-28,2020-05-29,TP_v2,NVDA,BUY,6.050625165670871e-19,8.574499626159668,2020-06-26
2020-06-04,2020-06-05,TP_v2,CRM,BUY,0.005850757936856412,170.13000061035157,2020-07-06
2020-06-04,2020-06-05,TP_v2,ABT,BUY,0.011694515019658841,88.49000122070312,2020-07-06
2020-06-10,2020-06-11,MR_1A,SCHW,BUY,0.004335271868859531,36.56000091552735,2020-06-25
2020-06-10,2020-06-11,MR_1A,COF,BUY,0.0018745871733880461,66.72999908447265,2020-06-25
2020-06-17,2020-06-18,TP_v2,UNH,BUY,0.0007828415814247439,290.44999267578123,2020-07-17
2020-06-19,2020-06-22,MR_1A,SPG,BUY,0.003709097131212906,66.36999847412109,2020-07-07
2020-06-24,2020-06-25,TP_v2,CHTR,BUY,0.00037661227570332873,507.4799914550781,2020-07-24
2020-06-24,2020-06-25,TP_v2,ISRG,BUY,0.0008473988165716637,185.58666564941407,2020-07-24
2020-06-24,2020-06-25,MR_1A,GE,BUY,0.0025736634334422507,32.41687728881836,2020-07-10
2020-06-24,2020-06-25,MR_1A,GD,BUY,0.0010262672630978382,145.02,2020-07-10
2020-06-25,2020-06-26,MR_1A,BA,BUY,0.0015757276565580127,173.43999816894532,2020-07-13
2020-06-26,2020-06-29,TP_v2,META,BUY,2.4915616414077434e-21,209.77,2020-07-28
2020-06-26,2020-06-29,TP_v2,AMD,BUY,8.385532171806659e-21,50.17000152587891,2020-07-28
2020-06-26,2020-06-29,TP_v2,AMT,BUY,2.226724704793843e-21,250.05999328613282,2020-07-28
2020-06-26,2020-06-29,TP_v2,GOOG,BUY,1.015453952485792e-20,67.92899658203125,2020-07-28
2020-06-26,2020-06-29,TP_v2,GOOGL,BUY,1.0123433114793661e-20,68.03699829101562,2020-07-28
2020-06-26,2020-06-29,TP_v2,TSLA,BUY,6.772137506385765e-21,64.62066986083984,2020-07-28
2020-06-26,2020-06-29,MR_1A,COF,BUY,3.1707816449311197e-21,61.860000152587894,2020-07-14
2020-06-26,2020-06-29,MR_1A,SCHW,BUY,7.856168290281764e-21,32.1199984741211,2020-07-14
2020-06-26,2020-06-29,MR_1A,META,BUY,1.7675005963138485e-21,209.77,2020-07-14
2020-06-26,2020-06-29,MR_1A,RTX,BUY,4.429923707423144e-21,60.20999862670899,2020-07-14
2020-06-26,2020-06-29,MR_1A,NKE,BUY,3.912952494488962e-21,93.71999694824218,2020-07-14
2020-06-26,2020-06-29,MR_1A,COP,BUY,6.2478405073891216e-21,40.42000152587891,2020-07-14
2020-06-26,2020-06-29,MR_1A,GS,BUY,1.5573616622477125e-21,191.4000048828125,2020-07-14
2020-07-09,2020-07-10,MR_1A,SPG,BUY,0.00859236804157026,60.52,2020-07-24
2020-07-09,2020-07-10,MR_1A,GM,BUY,0.038644215539725024,23.569999237060546,2020-07-24
2020-07-13,2020-07-14,TP_v2,MA,BUY,0.0017822509140200458,292.02,2020-08-11
2020-07-13,2020-07-14,TP_v2,CRM,BUY,0.0024959064688140067,186.01000549316407,2020-08-11
2020-07-14,2020-07-15,TP_v2,INTU,BUY,0.0012097565958972384,288.04999877929686,2020-08-12
2020-07-14,2020-07-15,MR_1A,INTU,BUY,0.0008065043972648258,288.04999877929686,2020-07-29
2020-07-15,2020-07-16,TP_v2,ADBE,BUY,4.033911776490905e-20,428.44999267578123,2020-08-13
2020-07-15,2020-07-16,TP_v2,PYPL,BUY,9.429965044368718e-20,169.91999389648439,2020-08-13
2020-07-15,2020-07-16,MR_1A,ADBE,BUY,5.182509247772539e-20,428.44999267578123,2020-07-30
2020-07-16,2020-07-17,TP_v2,AMZN,BUY,8.897028474778143e-36,150.4699969482422,2020-08-14
2020-07-16,2020-07-17,TP_v2,MSFT,BUY,8.522431674741686e-36,204.49000122070314,2020-08-14
2020-07-17,2020-07-20,TP_v2,NFLX,BUY,0.0009093388653229436,48.93400146484375,2020-08-17
2020-07-17,2020-07-20,TP_v2,ORCL,BUY,0.001811870163881425,54.90000106811524,2020-08-17
2020-07-17,2020-07-20,MR_1A,BK,BUY,0.0026750141369580095,35.880000610351566,2020-08-03
2020-07-20,2020-07-21,MR_1A,BA,BUY,7.77684974917789e-20,178.44999267578126,2020-08-04
2020-07-24,2020-07-27,TP_v2,GILD,BUY,0.005741488128988053,73.90999938964843,2020-08-24
2020-07-24,2020-07-27,TP_v2,MS,BUY,0.006830467561298919,49.92999984741211,2020-08-24
2020-07-24,2020-07-27,TP_v2,AMGN,BUY,0.001602439037964095,247.32000305175782,2020-08-24
2020-07-27,2020-07-28,MR_1A,INTC,BUY,0.01564597800545946,49.49999954223633,2020-08-11
2020-07-28,2020-07-29,TP_v2,TSLA,BUY,1.2158677068338009e-20,100.08666564941406,2020-08-26
2020-07-30,2020-07-31,TP_v2,LLY,BUY,0.0015912070192684274,153.1500048828125,2020-08-28
2020-08-03,2020-08-04,TP_v2,CAT,BUY,0.0004398839761910865,131.3899951171875,2020-09-01
2020-08-03,2020-08-04,MR_1A,COP,BUY,0.0005289996128828925,36.67999984741211,2020-08-18
2020-08-05,2020-08-06,TP_v2,AMT,BUY,7.50910679645027e-05,254.7199969482422,2020-09-03
2020-08-11,2020-08-12,TP_v2,AMD,BUY,0.00511759183515806,78.45000030517578,2020-09-10
2020-08-11,2020-08-12,TP_v2,CRM,BUY,0.0035722283743187806,193.02,2020-09-10
2020-08-11,2020-08-12,MR_1A,AMD,BUY,0.0034117278901053738,78.45000030517578,2020-08-26
2020-08-11,2020-08-12,MR_1A,CRM,BUY,0.002381485582879187,193.02,2020-08-26
